id,name,state,position,founded,description
1,Acadia,Maine,44.35°N 68.21°W,1919-02-26,"Covering most ofMount Desert Islandand other coastal islands, Acadia features thetallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.[13][14]"
2,American Samoa,American Samoa,14.25°S 170.68°W,1988-10-31,"The southernmost national park is on three Samoan islands in the South Pacific. It protectscoral reefs, rainforests, volcanic mountains, and white beaches. The area is also home toflying foxes,brown boobies, sea turtles, and 900 species of fish.[15]"
3,Arches,Utah,38.68°N 109.57°W,1971-11-12,"This site features more than 2,000natural sandstone arches, with some of the most popular arches in the park beingDelicate Arch,Landscape ArchandDouble Arch.[16]Millions of years of erosion have created these structures in a desert climate where the arid ground has life-sustainingbiological soil crustsand potholes that serve as natural water-collecting basins. Other geologic formations include stonepinnacles,fins, andbalancing rocks.[17]"
4,Badlands,South Dakota,43.75°N 102.50°W,1978-11-10,"The Badlands are a collection ofbuttes, pinnacles, spires, andmixed-grass prairieswithin the drainage basin of theWhite River, in southwestern South Dakota. They contain the largest known assemblage of lateEoceneandOligocenemammal fossils.[18]Wildlife includesbison,bighorn sheep,black-footed ferrets, andprairie dogs.[19]"
5,Big Bend,Texas,29.25°N 103.25°W,1944-06-12,"Named for theprominent bendin theRio Grandealong the U.S.–Mexico border, this park encompasses a large and remote part of theChihuahuan Desert. Its main attraction is backcountry recreation in the aridChisos Mountainsand in canyons along the river. A wide variety ofCretaceousandTertiaryfossils as well as cultural artifacts of Native Americans also exist within its borders.[20](BR)[21]"
6,Biscayne,Florida,25.65°N 80.08°W,1980-06-28,"The central part ofBiscayne Bay, this mostly underwater park at the north end of theFlorida Keyshas four interrelated marine ecosystems:mangroveforest, the Bay, the Keys, and coral reefs. Threatened animals include theWest Indian manatee,American crocodile, various sea turtles, and theperegrine falcon.[22]"
7,Black Canyon of the Gunnison,Colorado,38.57°N 107.72°W,1999-10-21,"The park protects a quarter of theGunnison River, which slices sheer canyon walls from darkPrecambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America, and is a popular site for river rafting and rock climbing. The deep, narrow canyon is composed ofgneissandschist, which appears black when in shadow.[23]"
8,Bryce Canyon,Utah,37.57°N 112.18°W,1928-02-25,"Bryce Canyon is a geologicalamphitheateron southern Utah'sPaunsaugunt Plateauwith hundreds of tall, multicoloredsandstone hoodoosformed by erosion. The region was originally settled by Native Americans and later byMormonpioneers.[24]"
9,Canyonlands,Utah,38.2°N 109.93°W,1964-09-12,"This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of theColorado River,Green River, and theirtributaries, which divide the park into three districts. The park contains thousands of rock pinnacles and arches, as well as artifacts fromAncient Pueblo peoples.[25]"
10,Capitol Reef,Utah,38.20°N 111.17°W,1971-12-18,"The park'sWaterpocket Foldis a 100-mile (160km)monoclinethat exhibits the earth's diverse geologic layers. Other natural features include monoliths, eroded buttes, and sandstone domes, including one shaped like theUnited States Capitol.[26]"
11,Carlsbad Caverns,New Mexico,32.17°N 104.44°W,1930-05-14,"Carlsbad Caverns has 117 caves, the longest of which is over 120 miles (190km) long. The Big Room is almost 4,000 feet (1,200m) long, and the caves are home to over 400,000Mexican free-tailed batsand sixteen other species. Above ground are theChihuahuan Desertand Rattlesnake Springs.[27](WHS)[28]"
12,Channel Islands,California,34.01°N 119.42°W,1980-03-05,"Five of the eightChannel Islandsare protected, with half of the park's area underwater. The islands have a unique Mediterranean ecosystem originally settled by theChumash people. They are home to over 2,000 species of land plants and animals, 145 endemic to them, including theisland fox. Ferry services offer transportation to the islands from the mainland.[29](BR)[30]"
13,Congaree,South Carolina,33.78°N 80.78°W,2003-11-10,"On theCongaree River, this park is the largest portion ofold-growthfloodplain forest left in North America. Some of the trees are the tallest in the eastern United States. An elevated walkway called the Boardwalk Loop guides visitors through the swamp.[31](BR)[32]"
